object_id,score_name,score_value
1565,Ground subsidence (InSAR),0.1259
1566,Ground subsidence (InSAR),0.3359
1567,Ground subsidence (InSAR),0.1259
1568,Ground subsidence (InSAR),0.3359
1569,Ground subsidence (InSAR),0.3359
1570,Ground subsidence (InSAR),0.1259
1572,Ground subsidence (InSAR),0.3359
1574,Ground subsidence (InSAR),0.3359
1577,Ground subsidence (InSAR),0.3359
1579,Ground subsidence (InSAR),0.216
1581,Ground subsidence (InSAR),0.216
1583,Ground subsidence (InSAR),0.9428
1585,Ground subsidence (InSAR),0.216
1587,Ground subsidence (InSAR),0.216
1591,Ground subsidence (InSAR),0.216
1595,Ground subsidence (InSAR),0.2836
1596,Ground subsidence (InSAR),0.111
1644,Ground subsidence (InSAR),1.0
1660,Ground subsidence (InSAR),0.2519
1661,Ground subsidence (InSAR),0.1824
1662,Ground subsidence (InSAR),0.1824
1663,Ground subsidence (InSAR),0.093
1670,Ground subsidence (InSAR),0.2522
1671,Ground subsidence (InSAR),0.2522
1673,Ground subsidence (InSAR),0.1999
1674,Ground subsidence (InSAR),0.2349
1675,Ground subsidence (InSAR),0.2349
1676,Ground subsidence (InSAR),0.4522
1677,Ground subsidence (InSAR),0.2349
1678,Ground subsidence (InSAR),0.1288
1679,Ground subsidence (InSAR),0.1288
1680,Ground subsidence (InSAR),0.5479
1683,Ground subsidence (InSAR),0.2826
1703,Ground subsidence (InSAR),0.294
1900,Ground subsidence (InSAR),0.0631
1907,Ground subsidence (InSAR),1.0
1916,Ground subsidence (InSAR),0.1594
1936,Ground subsidence (InSAR),0.1848
1948,Ground subsidence (InSAR),0.1848
1951,Ground subsidence (InSAR),1.0
1952,Ground subsidence (InSAR),0.1288
1958,Ground subsidence (InSAR),0.2519
1962,Ground subsidence (InSAR),0.0369
1963,Ground subsidence (InSAR),0.4577
1964,Ground subsidence (InSAR),0.2132
1965,Ground subsidence (InSAR),1.0
1966,Ground subsidence (InSAR),0.162
1967,Ground subsidence (InSAR),0.1821
1968,Ground subsidence (InSAR),1.0
1972,Ground subsidence (InSAR),0.1135
1975,Ground subsidence (InSAR),0.3584
1976,Ground subsidence (InSAR),0.1135
1977,Ground subsidence (InSAR),0.1135
1978,Ground subsidence (InSAR),0.0785
1979,Ground subsidence (InSAR),0.1135
1980,Ground subsidence (InSAR),0.2057
1982,Ground subsidence (InSAR),1.0
1984,Ground subsidence (InSAR),0.3411
1985,Ground subsidence (InSAR),1.0
1987,Ground subsidence (InSAR),1.0
1988,Ground subsidence (InSAR),0.3025
1989,Ground subsidence (InSAR),0.4947
1994,Ground subsidence (InSAR),0.3681
1997,Ground subsidence (InSAR),0.3136
1999,Ground subsidence (InSAR),0.3136
2001,Ground subsidence (InSAR),0.3411
2003,Ground subsidence (InSAR),0.5292
2004,Ground subsidence (InSAR),0.3411
2006,Ground subsidence (InSAR),0.1288
2007,Ground subsidence (InSAR),0.2394
2009,Ground subsidence (InSAR),0.3025
2011,Ground subsidence (InSAR),0.3395
2012,Ground subsidence (InSAR),0.3681
2014,Ground subsidence (InSAR),0.3395
2015,Ground subsidence (InSAR),0.3395
2016,Ground subsidence (InSAR),0.2179
2021,Ground subsidence (InSAR),0.4522
2023,Ground subsidence (InSAR),0.105
2025,Ground subsidence (InSAR),0.4522
2026,Ground subsidence (InSAR),0.105
2027,Ground subsidence (InSAR),0.105
2028,Ground subsidence (InSAR),0.4522
2039,Ground subsidence (InSAR),0.4522
2041,Ground subsidence (InSAR),0.4522
2046,Ground subsidence (InSAR),0.4522
2047,Ground subsidence (InSAR),0.105
2048,Ground subsidence (InSAR),0.4522
2049,Ground subsidence (InSAR),0.105
2051,Ground subsidence (InSAR),0.4522
2055,Ground subsidence (InSAR),0.4522
2059,Ground subsidence (InSAR),0.1288
2061,Ground subsidence (InSAR),0.1288
2064,Ground subsidence (InSAR),0.3061
2065,Ground subsidence (InSAR),0.3061
2066,Ground subsidence (InSAR),0.3061
2070,Ground subsidence (InSAR),0.228
2078,Ground subsidence (InSAR),0.257
2079,Ground subsidence (InSAR),0.228
2085,Ground subsidence (InSAR),0.228
2088,Ground subsidence (InSAR),0.228
2092,Ground subsidence (InSAR),0.228
2094,Ground subsidence (InSAR),0.228
2128,Ground subsidence (InSAR),1.0
2131,Ground subsidence (InSAR),1.0
2155,Ground subsidence (InSAR),0.4522
2159,Ground subsidence (InSAR),0.6061
2160,Ground subsidence (InSAR),1.0
2161,Ground subsidence (InSAR),0.2971
2163,Ground subsidence (InSAR),1.0
2165,Ground subsidence (InSAR),0.6061
2166,Ground subsidence (InSAR),1.0
2167,Ground subsidence (InSAR),0.6061
2169,Ground subsidence (InSAR),0.4522
2172,Ground subsidence (InSAR),0.6061
2174,Ground subsidence (InSAR),0.6061
2213,Ground subsidence (InSAR),0.0494
2214,Ground subsidence (InSAR),0.0494
2217,Ground subsidence (InSAR),0.0494
2221,Ground subsidence (InSAR),0.3028
2222,Ground subsidence (InSAR),0.3028
2227,Ground subsidence (InSAR),0.3359
2230,Ground subsidence (InSAR),0.3359
2234,Ground subsidence (InSAR),0.3359
2237,Ground subsidence (InSAR),0.216
2239,Ground subsidence (InSAR),0.216
2241,Ground subsidence (InSAR),0.216
2244,Ground subsidence (InSAR),0.216
2247,Ground subsidence (InSAR),0.2836
2258,Ground subsidence (InSAR),0.9916
2263,Ground subsidence (InSAR),0.9916
2264,Ground subsidence (InSAR),0.9916
2265,Ground subsidence (InSAR),0.9916
2274,Ground subsidence (InSAR),0.0494
2279,Ground subsidence (InSAR),0.0494
2284,Ground subsidence (InSAR),1.0
2286,Ground subsidence (InSAR),1.0
2291,Ground subsidence (InSAR),0.3813
2293,Ground subsidence (InSAR),0.3813
2297,Ground subsidence (InSAR),0.4905
2298,Ground subsidence (InSAR),0.3813
2301,Ground subsidence (InSAR),0.3813
2303,Ground subsidence (InSAR),0.4905
2305,Ground subsidence (InSAR),0.3813
2307,Ground subsidence (InSAR),0.4905
