OBJECTID,top_height_m,base_height_m,storeys,building_height_m
30104,53.1,44.1,2.0,9.0
30106,54.2,42.7,2.0,11.5
30113,54.2,42.6,2.0,11.600000000000001
30118,54.3,41.5,2.0,12.799999999999997
30121,53.8,40.6,2.0,13.199999999999996
30123,53.7,40.3,2.0,13.400000000000006
30124,53.1,40.7,2.0,12.399999999999999
30127,59.3,50.0,2.0,9.299999999999997
30131,59.5,49.8,2.0,9.700000000000003
30133,59.5,49.7,2.0,9.799999999999997
30135,59.6,49.4,2.0,10.200000000000003
30139,59.9,49.3,2.0,10.600000000000001
30143,59.9,49.3,2.0,10.600000000000001
30147,61.6,50.9,2.0,10.700000000000003
30149,61.6,51.4,2.0,10.200000000000003
30151,61.5,51.3,2.0,10.200000000000003
30153,61.6,51.2,2.0,10.399999999999999
30156,61.3,51.5,2.0,9.799999999999997
30159,58.1,47.4,2.0,10.700000000000003
30162,58.3,48.1,2.0,10.199999999999996
30164,58.8,48.5,2.0,10.299999999999997
30166,59.9,48.7,2.0,11.199999999999996
30168,60.0,49.4,2.0,10.600000000000001
30170,60.2,49.8,2.0,10.400000000000006
30171,60.6,50.0,2.0,10.600000000000001
30174,60.4,50.7,2.0,9.699999999999996
30175,60.4,50.8,2.0,9.600000000000001
30176,60.5,51.0,2.0,9.5
30177,60.5,50.7,2.0,9.799999999999997
30178,60.3,50.4,2.0,9.899999999999999
30180,60.3,50.4,2.0,9.899999999999999
30181,60.4,50.1,2.0,10.299999999999997
30182,53.9,44.7,2.0,9.199999999999996
30183,54.2,44.7,2.0,9.5
30185,54.2,47.8,2.0,6.400000000000006
30186,54.1,47.6,2.0,6.5
30187,54.0,45.8,2.0,8.200000000000003
30188,53.9,47.4,2.0,6.5
30189,54.5,47.8,2.0,6.700000000000003
30190,54.5,47.8,2.0,6.700000000000003
30191,54.2,47.9,2.0,6.300000000000004
30192,44.1,38.6,2.0,5.5
30193,43.1,37.2,2.0,5.899999999999999
30194,41.4,36.0,2.0,5.399999999999999
30195,39.3,35.9,2.0,3.3999999999999986
30471,47.1,36.1,2.0,11.0
31140,23.5,17.7,2.0,5.800000000000001
31144,23.7,17.8,2.0,5.899999999999999
31146,24.0,17.8,2.0,6.199999999999999
31149,24.0,17.8,2.0,6.199999999999999
31151,24.0,17.7,2.0,6.300000000000001
31153,24.5,17.9,2.0,6.600000000000001
31155,24.7,17.9,2.0,6.800000000000001
31157,24.7,17.9,2.0,6.800000000000001
31161,24.7,17.8,2.0,6.899999999999999
31164,24.6,17.8,2.0,6.800000000000001
31175,32.4,25.2,2.0,7.199999999999999
31180,32.7,25.3,2.0,7.400000000000002
33764,54.3,45.2,2.0,9.099999999999994
33771,56.2,43.7,2.0,12.5
33776,55.9,46.7,2.0,9.199999999999996
33779,56.8,43.6,2.0,13.199999999999996
33784,56.9,48.4,2.0,8.5
33786,59.2,45.5,2.0,13.700000000000003
33789,59.1,49.5,2.0,9.600000000000001
33792,59.9,46.0,2.0,13.899999999999999
33794,59.9,51.0,2.0,8.899999999999999
33796,61.2,47.9,2.0,13.300000000000004
33802,61.2,52.3,2.0,8.900000000000006
33805,62.6,48.6,2.0,14.0
33809,62.1,54.0,2.0,8.100000000000001
33812,70.6,58.9,2.0,11.699999999999996
33815,65.8,57.3,2.0,8.5
33818,70.4,62.6,2.0,7.800000000000004
33821,67.7,59.4,2.0,8.300000000000004
33827,69.3,60.6,2.0,8.699999999999996
33829,69.6,57.8,2.0,11.799999999999997
33833,70.2,62.0,2.0,8.200000000000003
33835,69.0,55.7,2.0,13.299999999999997
33841,49.1,42.5,2.0,6.600000000000001
