building_id,ds1_objectid,address,district,region,building_type,usage,completion_date,age_years,latitude,longitude,notice_count,last_update,bad_event,score
1550991,24563,83 SAN TAM RD CASA PARADIZO,Yuen Long,New Territories,Tower,Residential/Composite,1997-09-30,28.7,22.482786520181836,114.05965499977845,0,,0,0.0
1550997,24564,83 SAN TAM RD CASA PARADIZO,Yuen Long,New Territories,Tower,Residential/Composite,1997-09-30,28.7,22.482899760115917,114.05964490039185,0,,0,0.0
1551009,24565,17/19 ON FUK ST KWONG SUN HONG GODOWN BUILDING,North,New Territories,Tower,Industrial,1990-07-23,35.9,22.496727000250928,114.14591409975594,0,,0,0.0
1551015,24566,1 WAI YAN ST,Tai Po,New Territories,Tower,Residential/Composite,1977-06-09,49.0,22.44902098023408,114.16524259986612,0,,0,0.0
1551024,24567,83 SAN TAM RD CASA PARADIZO,Yuen Long,New Territories,Tower,Residential/Composite,1997-09-30,28.7,22.48294220002253,114.05966729980604,0,,0,0.0
1551029,24568,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 9,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.45207110020118,113.99926230031495,0,,0,0.0
1551282,24570,DD 254 LOT 76 WONG YI CHAU (ISLAND) Y'S MEN-YMCA WONG YI CHAU YOUTH CAMP,Sai Kung,New Territories,Tower,Others,1972-06-19,54.0,22.38546093957075,114.3163476999864,0,,0,0.0
1551355,24571,1 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47382413027941,114.04514969959904,0,,0,0.0
1551357,24572,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 10,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.452211579700705,113.9995543002908,0,,0,0.0
1551468,24573,CHUK LAM SIM YUEN MEMORIAL HALL DD 453 LOT 1255 FU YUNG SHAN,Tsuen Wan,New Territories,Tower,Others,1991-09-13,34.7,22.37957801990973,114.11921189990926,0,,0,0.0
1551605,24574,DD 453 LOT 1255 (PT) FU YUNG SHAN,Tsuen Wan,New Territories,Tower,Others,1991-09-13,34.7,22.379708069971517,114.11926579987689,0,,0,0.0
1551607,24575,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 11,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.45252767970868,113.99987960036331,0,,0,0.0
1551610,24576,3 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47377066018788,114.04511640040164,0,,0,0.0
1551614,24577,5 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47371752014749,114.04508370015265,0,,0,0.0
1551616,24578,15 TAI PO TAI WO RD TAI WO CENTRE,Tai Po,New Territories,Podium,Residential/Composite,1987-05-25,39.0,22.452066719603465,114.16435930014164,0,,0,0.0
1551757,24579,7 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47366412020301,114.04505109972854,0,,0,0.0
1551790,24580,21 WAI YAN ST ON DICK BUILDING,Tai Po,New Territories,Podium,Residential/Composite,1978-07-07,47.9,22.44880653959018,114.16570070012722,0,,0,0.0
1551833,24581,13 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47349548023226,114.04494639975655,0,,0,0.0
1551956,24582,15 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473440799653247,114.04491259963686,0,,0,0.0
1551985,24583,33 LO WAI RD YUEN YUEN CARE & ATTENTION HOME FOR THE AGED,Tsuen Wan,New Territories,Tower,Others,1993-10-08,32.7,22.382000539893056,114.12288240010275,0,,0,0.0
1552038,24584,15 TAI PO TAI WO RD TAI WO CENTRE BLK 1,Tai Po,New Territories,Tower,Residential/Composite,1987-05-25,39.0,22.452169159579118,114.16409450016111,0,,0,0.0
1552044,24585,17 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473386100188407,114.04487890024107,0,,0,0.0
1552187,24586,19 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47333346017109,114.0448461999922,0,,0,0.0
1552248,24587,2 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.4739129599152,114.04497929965498,0,,0,0.0
1552250,24588,21 WAI YAN ST ON DICK BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1978-07-07,47.9,22.44880653959018,114.16570070012722,0,,0,0.0
1552251,24589,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 12,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.45283641966506,113.99998059962502,0,,0,0.0
1552313,24590,4 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473859759620268,114.04494599955832,0,,0,0.0
1552431,24591,6 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47380654043957,114.0449127003609,0,,0,0.0
1552543,24592,8 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473753160280182,114.04487959991366,0,,0,0.0
1552570,24593,15 TAI PO TAI WO RD TAI WO CENTRE BLK 2,Tai Po,New Territories,Tower,Residential/Composite,1987-05-25,39.0,22.452018259635,114.16448860016884,0,,0,0.0
1552621,24594,14 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473588380199654,114.04477580016304,0,,0,0.0
1552743,24595,16 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473536510001964,114.04474400013557,0,,0,0.0
1552775,24596,18 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473482770113776,114.04471000036632,0,,0,0.0
1552777,24597,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 13,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.45316329984644,114.00009279994288,0,,0,0.0
1552778,24598,25 WAI YAN ST HOI LIN BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1972-09-21,53.7,22.448748509935854,114.16581129965186,0,,0,0.0
1552873,24599,20 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473427090387982,114.04467520020034,0,,0,0.0
1553098,24600,26 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473258200405667,114.04457000020544,0,,0,0.0
1553102,24601,28 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473204150251377,114.04453629991042,0,,0,0.0
1553104,24602,31 WAI YAN ST HOI KAM BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1971-06-11,55.0,22.44869430959477,114.1659315003385,0,,0,0.0
1553141,24603,FAIRVIEW PARK 30 FAIRVIEW PARK SECT B 1ST ST,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473150330323563,114.0445024997906,0,,0,0.0
1553142,24604,32 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473096909694675,114.0444689002196,0,,0,0.0
