X,Y,OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,NSEARCH01_EN,NSEARCH01_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE
12713161.023767,2546382.95829197,72,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990746,BEDFORD GARDENS PAK TAK COURT 167 TIN HAU TEMPLE RD,1990746,BEDFORD GARDENS PAK TAK COURT 167 TIN HAU TEMPLE RD,TOW,TOW,1,1,816792.3,839091,22.29003249,114.20426857,2025/07/30 11:44:47+00
12713141.9989686,2546312.6672627,73,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1989970,BEDFORD GARDENS TAK FOOK COURT 157 TIN HAU TEMPLE RD,1989970,BEDFORD GARDENS TAK FOOK COURT 157 TIN HAU TEMPLE RD,TOW,TOW,1,1,816727.6,839073.4,22.28944835,114.2040979,2025/07/30 11:44:47+00
12710406.8057218,2549974.94020972,74,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1323068,BEL-AIR HOUSE 15/19 PRINCESS MARGARET RD,1323068,BEL-AIR HOUSE 15/19 PRINCESS MARGARET RD,TOW,TOW,4,4,820097.8,836541.3,22.31988603,114.17952683,2025/07/30 11:44:47+00
12705097.3323354,2545795.04259218,75,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,440699,BELCHER COURT 2 SAI CHEUNG ST,440699,BELCHER COURT 2 SAI CHEUNG ST,TOW,TOW,1,1,816251.6,831626.1,22.28514573,114.13183143,2025/07/30 11:44:47+00
12710678.4129211,2552507.99848878,76,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1544525,BELMONT HEIGHTS BLK 2 3 MARCONI RD,1544525,BELMONT HEIGHTS BLK 2 3 MARCONI RD,TOW,TOW,1,1,822428.6,836792.6,22.34093417,114.18196662,2025/07/30 11:44:47+00
12711103.2913427,2548422.09112435,77,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1583877,BERKELEY BUILDING 2 MARSH ST,1583877,BERKELEY BUILDING 2 MARSH ST,TOW,TOW,1,1,818668.8,837186,22.30698092,114.18578405,2025/07/30 11:44:47+00
12710148.5813657,2552923.41117055,78,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1068970,BEVERLEY HEIGHTS 67 BEACON HILL RD,1068970,BEVERLEY HEIGHTS 67 BEACON HILL RD,TOW,TOW,1,1,822810.8,836302.3,22.34438574,114.17720746,2025/07/30 11:44:47+00
12709343.5501119,2549261.73993615,79,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,103698,BIK LAN HOUSE 43 PITT ST,103698,BIK LAN HOUSE 43 PITT ST,TOW,TOW,1,1,819441.5,835557.2,22.31395894,114.16997573,2025/07/30 11:44:47+00
12687616.8193656,2559330.42231772,80,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,761294,BIT HING BUILDING 2/4 MING NGAI ST TUEN MUN,761294,BIT HING BUILDING 2/4 MING NGAI ST TUEN MUN,TOW,TOW,1,1,828718.5,815460.1,22.39760962,113.97480077,2025/07/30 11:44:47+00
12686226.4674419,2556432.19293006,81,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1947106,BLK 1 MELODY GARDEN 2 WU CHUI RD TUEN MUN,1947106,BLK 1 MELODY GARDEN 2 WU CHUI RD TUEN MUN,TOW,TOW,1,1,826054.5,814170.2,22.37353611,113.96231096,2025/07/30 11:44:47+00
